Utterance	Intents
ok	l_General, q_Chitchat
go away	l_General, q_Chitchat
shut your mouth	l_General, q_Chitchat
that is right	l_General, q_Chitchat
pardon	l_General, q_Chitchat
great	l_General, q_Chitchat
okay	l_General, q_Chitchat
not even close	l_General, q_Chitchat
sounds good	l_General, q_Chitchat
fine	l_General, q_Chitchat
perfect	l_General, q_Chitchat
logout	l_General, None
not at all	l_General, q_Chitchat
hello	None, q_Chitchat
what's new	q_Chitchat, q_Faq
goodbye	None, q_Chitchat
quiet	l_General, q_Chitchat
