Utterance	Intents
be quiet	l_General, q_Chitchat
logout	l_General, None
sure	l_General, q_Chitchat
stop talking	l_General, q_Chitchat
forget about it	l_General, q_Chitchat
goodbye	None, q_Chitchat
okay	l_General, q_Chitchat
pardon	l_General, q_Chitchat
what's new	q_Chitchat, q_Faq
right	l_General, q_Chitchat
go away	l_General, q_Chitchat
sounds good	l_General, q_Chitchat
ok	l_General, q_Chitchat
sorry	l_General, q_Chitchat
quiet	l_General, q_Chitchat
hello	None, q_Chitchat
perfect	l_General, q_Chitchat
that is correct	l_General, q_Chitchat
not even close	l_General, q_Chitchat
shut your mouth	l_General, q_Chitchat
not at all	l_General, q_Chitchat
fine	l_General, q_Chitchat
shut up	l_General, q_Chitchat
great	l_General, q_Chitchat
sounds great	l_General, q_Chitchat
hi	None, q_Chitchat
yes	l_General, q_Chitchat
that is right	l_General, q_Chitchat
